category,filename,transparent,purpose,relative_path
"00-source","aayi-approved-source-artwork-do-not-redesign.png","False","approved source artwork do not redesign","00-source/aayi-approved-source-artwork-do-not-redesign.png"
"01-logo-transparent","aayi-logo-symbol-transparent-approved-artwork-1024x1024.png","True","logo symbol transparent approved artwork 1024x1024","01-logo-transparent/aayi-logo-symbol-transparent-approved-artwork-1024x1024.png"
"01-logo-transparent","aayi-logo-horizontal-transparent-with-tagline-2400x800.png","True","logo horizontal transparent with tagline 2400x800","01-logo-transparent/aayi-logo-horizontal-transparent-with-tagline-2400x800.png"
"01-logo-transparent","aayi-logo-horizontal-transparent-no-tagline-1800x640.png","True","logo horizontal transparent no tagline 1800x640","01-logo-transparent/aayi-logo-horizontal-transparent-no-tagline-1800x640.png"
"01-logo-transparent","aayi-app-symbol-transparent-approved-artwork-512x512.png","True","app symbol transparent approved artwork 512x512","01-logo-transparent/aayi-app-symbol-transparent-approved-artwork-512x512.png"
"01-logo-transparent","aayi-app-symbol-transparent-approved-artwork-1024x1024.png","True","app symbol transparent approved artwork 1024x1024","01-logo-transparent/aayi-app-symbol-transparent-approved-artwork-1024x1024.png"
"02-logo-background-versions","aayi-logo-horizontal-on-soft-cream-with-tagline-2400x800.png","False","logo horizontal on soft cream with tagline 2400x800","02-logo-background-versions/aayi-logo-horizontal-on-soft-cream-with-tagline-2400x800.png"
"02-logo-background-versions","aayi-logo-horizontal-on-white-with-tagline-2400x800.png","False","logo horizontal on white with tagline 2400x800","02-logo-background-versions/aayi-logo-horizontal-on-white-with-tagline-2400x800.png"
"02-logo-background-versions","aayi-logo-horizontal-on-dark-with-tagline-2400x800.png","False","logo horizontal on dark with tagline 2400x800","02-logo-background-versions/aayi-logo-horizontal-on-dark-with-tagline-2400x800.png"
"02-logo-background-versions","aayi-app-icon-soft-cream-background-1024x1024.png","False","app icon soft cream background 1024x1024","02-logo-background-versions/aayi-app-icon-soft-cream-background-1024x1024.png"
"02-logo-background-versions","aayi-app-icon-white-background-1024x1024.png","False","app icon white background 1024x1024","02-logo-background-versions/aayi-app-icon-white-background-1024x1024.png"
"02-logo-background-versions","aayi-favicon-soft-cream-background-512x512.png","False","favicon soft cream background 512x512","02-logo-background-versions/aayi-favicon-soft-cream-background-512x512.png"
"02-logo-background-versions","aayi-favicon-browser-icon-16-256.ico","False","favicon browser icon 16 256","02-logo-background-versions/aayi-favicon-browser-icon-16-256.ico"
"03-website","aayi-website-home-hero-desktop-with-brand-art-1920x1080.png","False","website home hero desktop with brand art 1920x1080","03-website/aayi-website-home-hero-desktop-with-brand-art-1920x1080.png"
"03-website","aayi-website-home-hero-mobile-with-brand-art-1080x1920.png","False","website home hero mobile with brand art 1080x1920","03-website/aayi-website-home-hero-mobile-with-brand-art-1080x1920.png"
"03-website","aayi-website-section-banner-motherhood-support-1600x900.png","False","website section banner motherhood support 1600x900","03-website/aayi-website-section-banner-motherhood-support-1600x900.png"
"03-website","aayi-website-about-section-brand-story-1600x900.png","False","website about section brand story 1600x900","03-website/aayi-website-about-section-brand-story-1600x900.png"
"03-website","aayi-website-footer-background-with-brand-art-1920x600.png","False","website footer background with brand art 1920x600","03-website/aayi-website-footer-background-with-brand-art-1920x600.png"
"04-social-media","aayi-instagram-post-template-motherhood-support-1080x1080.png","False","instagram post template motherhood support 1080x1080","04-social-media/aayi-instagram-post-template-motherhood-support-1080x1080.png"
"04-social-media","aayi-instagram-carousel-cover-meet-aayi-1080x1080.png","False","instagram carousel cover meet 1080x1080","04-social-media/aayi-instagram-carousel-cover-meet-aayi-1080x1080.png"
"04-social-media","aayi-instagram-story-launch-template-1080x1920.png","False","instagram story launch template 1080x1920","04-social-media/aayi-instagram-story-launch-template-1080x1920.png"
"04-social-media","aayi-facebook-page-cover-brand-banner-1640x924.png","False","facebook page cover brand banner 1640x924","04-social-media/aayi-facebook-page-cover-brand-banner-1640x924.png"
"04-social-media","aayi-linkedin-company-cover-brand-banner-1584x396.png","False","linkedin company cover brand banner 1584x396","04-social-media/aayi-linkedin-company-cover-brand-banner-1584x396.png"
"04-social-media","aayi-youtube-channel-banner-brand-safe-area-2560x1440.png","False","youtube channel banner brand safe area 2560x1440","04-social-media/aayi-youtube-channel-banner-brand-safe-area-2560x1440.png"
"04-social-media","aayi-google-business-profile-cover-brand-banner-1024x576.png","False","google business profile cover brand banner 1024x576","04-social-media/aayi-google-business-profile-cover-brand-banner-1024x576.png"
"05-posters","aayi-poster-pregnancy-care-instagram-portrait-1080x1350.png","False","poster pregnancy care instagram portrait 1080x1350","05-posters/aayi-poster-pregnancy-care-instagram-portrait-1080x1350.png"
"05-posters","aayi-poster-motherhood-support-instagram-portrait-1080x1350.png","False","poster motherhood support instagram portrait 1080x1350","05-posters/aayi-poster-motherhood-support-instagram-portrait-1080x1350.png"
"05-posters","aayi-poster-newborn-care-instagram-portrait-1080x1350.png","False","poster newborn care instagram portrait 1080x1350","05-posters/aayi-poster-newborn-care-instagram-portrait-1080x1350.png"
"05-posters","aayi-poster-doctor-companion-instagram-portrait-1080x1350.png","False","poster doctor companion instagram portrait 1080x1350","05-posters/aayi-poster-doctor-companion-instagram-portrait-1080x1350.png"
"05-posters","aayi-poster-ai-companion-instagram-portrait-1080x1350.png","False","poster ai companion instagram portrait 1080x1350","05-posters/aayi-poster-ai-companion-instagram-portrait-1080x1350.png"
"05-posters","aayi-poster-app-launch-instagram-portrait-1080x1350.png","False","poster app launch instagram portrait 1080x1350","05-posters/aayi-poster-app-launch-instagram-portrait-1080x1350.png"
"06-stationery","aayi-letterhead-a4-print-ready-2480x3508.png","False","letterhead a4 print ready 2480x3508","06-stationery/aayi-letterhead-a4-print-ready-2480x3508.png"
"06-stationery","aayi-business-card-front-print-ready-1050x600.png","False","business card front print ready 1050x600","06-stationery/aayi-business-card-front-print-ready-1050x600.png"
"06-stationery","aayi-business-card-back-print-ready-1050x600.png","False","business card back print ready 1050x600","06-stationery/aayi-business-card-back-print-ready-1050x600.png"
"06-stationery","aayi-envelope-design-print-ready-2200x1000.png","False","envelope design print ready 2200x1000","06-stationery/aayi-envelope-design-print-ready-2200x1000.png"
"06-stationery","aayi-invoice-header-brand-strip-1600x450.png","False","invoice header brand strip 1600x450","06-stationery/aayi-invoice-header-brand-strip-1600x450.png"
"06-stationery","aayi-email-signature-banner-1200x400.png","False","email signature banner 1200x400","06-stationery/aayi-email-signature-banner-1200x400.png"
"07-app-store","aayi-google-play-feature-graphic-brand-banner-1024x500.png","False","google play feature graphic brand banner 1024x500","07-app-store/aayi-google-play-feature-graphic-brand-banner-1024x500.png"
"07-app-store","aayi-app-store-promo-banner-brand-1920x1080.png","False","app store promo banner brand 1920x1080","07-app-store/aayi-app-store-promo-banner-brand-1920x1080.png"
"07-app-store","aayi-app-screenshot-frame-placeholder-1290x2796.png","False","app screenshot frame placeholder 1290x2796","07-app-store/aayi-app-screenshot-frame-placeholder-1290x2796.png"
